Date,Open,High,Low,Close,Adj Close,Volume
2000-03-28,2.545455,2.636364,2.272727,2.590909,1.968501,23025200
2000-03-29,2.795455,2.863636,2.727273,2.727273,2.072106,9124500
2000-03-30,2.727273,2.750000,2.409091,2.636364,2.003036,3688300
2000-03-31,2.727273,2.727273,2.636364,2.659091,2.020303,3083300
2000-04-03,2.545455,2.659091,2.386364,2.613636,1.985768,5897100
2000-04-04,2.272727,2.318182,2.136364,2.272727,1.726755,4483000
2000-04-05,2.227273,2.545455,2.136364,2.522727,1.916698,1946400
2000-04-06,2.409091,3.090909,2.409091,3.034091,2.305218,2862700
2000-04-07,3.181818,3.409091,3.181818,3.204545,2.434725,1497100
2000-04-10,3.363636,3.363636,2.750000,2.920455,2.218881,1596600
2000-04-11,2.818182,2.909091,2.727273,2.886364,2.192979,578600
2000-04-12,2.909091,2.931818,2.818182,2.863636,2.175711,1013600
2000-04-13,2.840909,2.863636,2.727273,2.750000,2.089374,1234700
2000-04-14,2.681818,2.750000,2.636364,2.727273,2.072106,1975000
2000-04-17,2.681818,2.750000,2.636364,2.727273,2.072106,1392600
2000-04-18,2.772727,2.909091,2.772727,2.863636,2.175711,916800
2000-04-19,2.818182,2.909091,2.750000,2.886364,2.192979,871200
2000-04-20,2.840909,2.954545,2.818182,2.909091,2.210247,538400
2000-04-24,2.863636,2.863636,2.670455,2.681818,2.037571,169900
2000-04-25,2.727273,2.795455,2.715909,2.772727,2.106642,156700
2000-04-26,2.863636,3.147727,2.863636,3.136364,2.382923,1769900
2000-04-27,3.000000,3.181818,2.909091,3.113636,2.365654,1443700
2000-04-28,3.159091,3.227273,3.090909,3.136364,2.382923,547200
2000-05-01,3.181818,3.181818,3.068182,3.079545,2.339753,234300
2000-05-02,3.045455,3.045455,2.931818,2.977273,2.262049,721600
2000-05-03,2.954545,2.954545,2.704545,2.727273,2.072106,853000
2000-05-04,2.727273,2.795455,2.727273,2.772727,2.106642,536800
2000-05-05,2.784091,2.829545,2.784091,2.829545,2.149811,125400
2000-05-08,2.909091,3.000000,2.840909,2.977273,2.262049,673200
2000-05-09,2.954545,3.011364,2.920455,3.000000,2.279317,300300
2000-05-10,3.000000,3.000000,2.840909,2.863636,2.175711,236500
2000-05-11,2.886364,2.886364,2.795455,2.795455,2.123909,123700
2000-05-12,2.772727,2.772727,2.727273,2.738636,2.080740,1265000
2000-05-15,2.715909,2.750000,2.704545,2.738636,2.080740,178200
2000-05-16,2.761364,2.761364,2.727273,2.750000,2.089374,103900
2000-05-17,2.727273,2.750000,2.727273,2.727273,2.072106,460300
2000-05-18,2.727273,2.761364,2.704545,2.727273,2.072106,68700
2000-05-19,2.704545,2.704545,2.659091,2.670455,2.028937,174300
2000-05-22,2.727273,2.727273,2.659091,2.727273,2.072106,1450900
2000-05-23,2.761364,2.761364,2.727273,2.727273,2.072106,853000
2000-05-24,2.727273,2.738636,2.727273,2.727273,2.072106,139100
2000-05-25,2.750000,2.750000,2.727273,2.738636,2.080740,1614200
2000-05-26,2.738636,2.886364,2.738636,2.818182,2.141176,877200
2000-05-30,2.829545,2.863636,2.772727,2.795455,2.123909,361300
2000-05-31,2.795455,2.795455,2.727273,2.795455,2.123909,568700
2000-06-01,2.772727,2.772727,2.772727,2.772727,2.106642,193000
2000-06-02,2.863636,2.875000,2.840909,2.875000,2.184345,425100
2000-06-05,2.875000,2.875000,2.840909,2.875000,2.184345,66000
2000-06-06,2.931818,3.045455,2.931818,3.022727,2.296584,477400
2000-06-07,3.000000,3.000000,2.931818,2.931818,2.227514,101700
2000-06-08,2.909091,2.954545,2.909091,2.909091,2.210247,156700
2000-06-09,2.931818,2.931818,2.840909,2.840909,2.158444,327200
2000-06-12,2.818182,2.840909,2.727273,2.727273,2.072106,728200
2000-06-13,2.727273,2.750000,2.681818,2.727273,2.072106,1322200
2000-06-14,2.727273,2.727273,2.681818,2.681818,2.037571,411900
2000-06-15,2.693182,2.772727,2.693182,2.750000,2.089374,79200
2000-06-16,2.795455,2.795455,2.613636,2.625000,1.994402,119300
2000-06-19,2.636364,2.704545,2.636364,2.681818,2.037571,156700
2000-06-20,2.659091,2.750000,2.659091,2.750000,2.089374,194700
2000-06-21,2.750000,2.750000,2.636364,2.704545,2.054839,284300
2000-06-22,2.681818,2.738636,2.681818,2.738636,2.080740,456500
2000-06-23,2.727273,2.761364,2.727273,2.738636,2.080740,111600
2000-06-26,2.738636,2.738636,2.704545,2.738636,2.080740,1153900
2000-06-27,2.727273,2.727273,2.704545,2.704545,2.054839,72000
2000-06-28,2.704545,2.704545,2.670455,2.670455,2.028937,58800
2000-06-29,2.659091,2.818182,2.659091,2.659091,2.020303,474100
2000-06-30,2.659091,2.659091,2.636364,2.636364,2.003036,388800
2000-07-03,2.704545,2.727273,2.704545,2.704545,2.054839,397100
2000-07-05,2.704545,2.750000,2.681818,2.727273,2.072106,868400
2000-07-06,2.681818,2.704545,2.625000,2.659091,2.020303,235400
2000-07-07,2.647727,2.647727,2.590909,2.602273,1.977135,166600
2000-07-10,2.579545,2.579545,2.534091,2.568182,1.951234,612700
2000-07-11,2.522727,2.556818,2.500000,2.556818,1.942599,680300
2000-07-12,2.545455,2.568182,2.522727,2.545455,1.933965,536200
2000-07-13,2.500000,2.511364,2.477273,2.500000,1.899431,1354100
2000-07-14,2.477273,2.477273,2.420455,2.443182,1.856261,337700
2000-07-17,2.363636,2.386364,2.340909,2.340909,1.778558,524700
2000-07-18,2.363636,2.363636,2.318182,2.318182,1.761290,570300
2000-07-19,2.363636,2.363636,2.272727,2.306818,1.752657,919600
2000-07-20,2.340909,2.352273,2.215909,2.215909,1.683586,1068100
2000-07-21,2.227273,2.227273,2.159091,2.159091,1.640417,497700
2000-07-24,2.193182,2.193182,1.954545,1.954545,1.485010,207300
2000-07-25,1.954545,2.000000,1.943182,1.943182,1.476376,1042200
2000-07-26,1.977273,1.977273,1.931818,1.954545,1.485010,146300
2000-07-27,1.954545,2.090909,1.954545,2.079545,1.579981,270000
2000-07-28,2.113636,2.170455,2.090909,2.170455,1.649051,279900
2000-07-31,2.193182,2.204545,2.113636,2.181818,1.657685,359100
2000-08-01,2.181818,2.227273,2.113636,2.227273,1.692220,128700
2000-08-02,2.227273,2.227273,2.181818,2.181818,1.657685,262900
2000-08-03,2.159091,2.170455,2.136364,2.159091,1.640417,88500
2000-08-04,2.181818,2.181818,2.136364,2.136364,1.623150,23100
2000-08-07,2.181818,2.215909,2.159091,2.181818,1.657685,54400
2000-08-08,2.181818,2.193182,2.159091,2.181818,1.657685,771100
2000-08-09,2.181818,2.363636,2.181818,2.318182,1.761290,324500
2000-08-10,2.318182,2.363636,2.318182,2.340909,1.778558,111100
2000-08-11,2.363636,2.363636,2.363636,2.363636,1.795826,78100
2000-08-14,2.386364,2.431818,2.375000,2.431818,1.847628,276100
2000-08-15,2.431818,2.431818,2.409091,2.409091,1.830361,134700
2000-08-16,2.409091,2.409091,2.363636,2.363636,1.795826,81400
2000-08-17,2.340909,2.363636,2.295455,2.295455,1.744023,357500
2000-08-18,2.295455,2.295455,2.272727,2.272727,1.726755,97300
2000-08-21,2.272727,2.295455,2.250000,2.250000,1.709488,148500
2000-08-22,2.250000,2.340909,2.250000,2.329545,1.769924,155100
2000-08-23,2.306818,2.306818,2.295455,2.295455,1.744023,20900
2000-08-24,2.272727,2.295455,2.227273,2.238636,1.700854,277200
2000-08-25,2.227273,2.227273,2.181818,2.193182,1.666319,24700
2000-08-28,2.193182,2.193182,2.181818,2.181818,1.657685,10400
2000-08-29,2.181818,2.181818,2.136364,2.147727,1.631783,201300
2000-08-30,2.159091,2.170455,2.136364,2.159091,1.640417,117700
2000-08-31,2.136364,2.136364,2.000000,2.090909,1.588615,543400
2000-09-01,2.090909,2.113636,2.068182,2.068182,1.571347,91800
