Date,Open,High,Low,Close,Volume
13-?????-18,97,97.24,93.97,94.41,35387817
12-?????-18,96.5,97.21,96.04,96.77,25916247
09-?????-18,95.29,96.54,95,96.54,36937254
08-?????-18,94.27,95.1,93.76,94.43,25887828
07-?????-18,93.16,93.94,92.43,93.86,26716127
06-?????-18,94.34,94.49,92.94,93.32,22175776
05-?????-18,92.34,94.27,92.26,93.64,23901578
02-?????-18,91.58,93.15,90.86,93.05,32830389
01-?????-18,93.99,94.57,91.84,92.85,37135561
28-??????-18,94.84,95.7,93.63,93.77,31167338
27-??????-18,95.74,95.84,94.2,94.2,25869119
26-??????-18,94.4,95.45,94.25,95.42,30199846
23-??????-18,93.6,94.07,92.36,94.06,26329226
22-??????-18,92.05,92.73,91.36,91.73,24392753
21-??????-18,92.98,93.36,91.49,91.49,26922503
20-??????-18,91.48,93.06,91.01,92.72,30911725
16-??????-18,92.45,93.5,91.8,92,30596919
15-??????-18,91.21,92.72,90.62,92.66,27823866
14-??????-18,88.51,90.99,88.41,90.81,34960912
13-??????-18,88.93,90,87.8,89.83,26407702
12-??????-18,88.74,89.78,87.93,89.13,35720341
09-??????-18,86.3,88.93,83.83,88.18,63499065
08-??????-18,89.71,89.88,84.76,85.01,55628657
07-??????-18,90.49,91.77,89.2,89.61,41107592
06-??????-18,86.89,91.48,85.25,91.33,67998564
05-??????-18,90.56,93.24,88,88,51031465
02-??????-18,93.64,93.97,91.5,91.78,47867753
01-??????-18,94.79,96.07,93.58,94.26,47227882
31-????-18,93.75,95.4,93.51,95.01,48756338
30-????-18,93.3,93.66,92.1,92.74,38635053
29-????-18,95.14,95.45,93.72,93.92,31569940
26-????-18,93.12,94.06,92.58,94.06,29172167
25-????-18,92.46,93.24,91.93,92.33,26383238
24-????-18,92.55,93.43,91.58,91.82,33277483
23-????-18,91.9,92.3,91.54,91.9,23412841
22-????-18,90,91.62,89.74,91.61,23601555
19-????-18,90.14,90.61,89.66,90,36875013
18-????-18,89.8,90.67,89.66,90.1,24159683
17-????-18,89.08,90.28,88.75,90.14,25621164
16-????-18,90.1,90.79,88.01,88.35,36599736
12-????-18,88.67,89.78,88.45,89.6,24271531
11-????-18,88.13,88.13,87.24,88.08,17808877
10-????-18,87.86,88.19,87.41,87.82,18652201
09-????-18,88.65,88.73,87.86,88.22,19484317
08-????-18,88.2,88.58,87.6,88.28,22113049
05-????-18,87.66,88.41,87.43,88.19,23407110
04-????-18,86.59,87.66,86.57,87.11,21911974
03-????-18,86.06,86.51,85.97,86.35,26061439
02-????-18,86.12,86.31,85.5,85.95,22483797
29-?????-17,85.63,86.05,85.5,85.54,18717406
28-?????-17,85.9,85.93,85.55,85.72,10594344
27-?????-17,85.65,85.98,85.22,85.71,14678025
26-?????-17,85.31,85.53,85.03,85.4,9891237
22-?????-17,85.4,85.63,84.92,85.51,14145841
21-?????-17,86.05,86.1,85.4,85.5,17990745
